Ukazatel,Čtvrtletí,Šetření,"ČR, regiony, kraje-Stát","ČR, regiony, kraje-Region","ČR, regiony, kraje-Kraj",Hodnota,MJ_TEXT,MJ_SYMBOL
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Jihozápad,Plzeňský kraj,45313.9652672538,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Severozápad,Karlovarský kraj,41877.3880171397,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Severozápad,Ústecký kraj,44784.3861785967,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Severovýchod,Liberecký kraj,44029.3845932207,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Severovýchod,Královéhradecký kraj,46423.3711445725,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Severovýchod,Pardubický kraj,43185.7635688905,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Jihovýchod,Kraj Vysočina,43956.2813907947,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Jihovýchod,Jihomoravský kraj,47441.1713725821,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Střední Morava,Olomoucký kraj,43074.2821211668,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Střední Morava,Zlínský kraj,43304.4779031021,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),2. čtvrtletí 2025,Pracovištní metoda,Česko,Moravskoslezsko,Moravskoslezský kraj,43598.0596234063,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,,,46493.1237461837,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Praha,,62794.789639343,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Střední Čechy,,45740.9994308955,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Jihozápad,,42409.1312529084,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Severozápad,,41914.4292323839,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Severovýchod,,41212.2645610955,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Jihovýchod,,44751.829404996,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Střední Morava,,40330.7076947734,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Moravskoslezsko,,40994.6759186952,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Praha,Hlavní město Praha,62794.789639343,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Střední Čechy,Středočeský kraj,45740.9994308955,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Jihozápad,Jihočeský kraj,41526.7489776612,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Jihozápad,Plzeňský kraj,43271.2613454944,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Severozápad,Karlovarský kraj,39510.8238750985,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Severozápad,Ústecký kraj,42770.4182363113,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Severovýchod,Liberecký kraj,41636.7697342547,koruna česká,Kč
Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),1. čtvrtletí 2025,Pracovištní metoda,Česko,Severovýchod,Královéhradecký kraj,41481.7301705924,koruna česká,Kč
