Ukazatel,IndicatorType,Počet obyvatel obce,VELSKUPOBC,Území-Stát,Uz023h22.STAT,Území-Kraj,Uz023h22.KRAJ,Území-Okres,Uz023h22.OKRES,Druh nemovitosti,REPRCENNEM,Roční a 3-letá období,CAS1R3R1,Hodnota
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Kraj Vysočina,CZ063,,,Byty [Kč/m2],10602,2022,2022,48960
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Kraj Vysočina,CZ063,,,Byty [Kč/m2],10602,2023,2023,46665
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Kraj Vysočina,CZ063,,,Byty [Kč/m2],10602,2024,2024,50560
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Kraj Vysočina,CZ063,,,Byty [Kč/m2],10602,2025,2025,56720
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihomoravský kraj,CZ064,,,Rodinné domy [Kč/m2],10302,2019,2019,33430
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihomoravský kraj,CZ064,,,Rodinné domy [Kč/m2],10302,2020,2020,35685
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihomoravský kraj,CZ064,,,Rodinné domy [Kč/m2],10302,2021,2021,42844
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihomoravský kraj,CZ064,,,Rodinné domy [Kč/m2],10302,2022,2022,47816
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihomoravský kraj,CZ064,,,Rodinné domy [Kč/m2],10302,2023,2023,49393
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihomoravský kraj,CZ064,,,Rodinné domy [Kč/m2],10302,2024,2024,52671
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihomoravský kraj,CZ064,,,Rodinné domy [Kč/m2],10302,2025,2025,56400
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihomoravský kraj,CZ064,,,Byty [Kč/m2],10602,2019,2019,41092
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihomoravský kraj,CZ064,,,Byty [Kč/m2],10602,2020,2020,46551
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihomoravský kraj,CZ064,,,Byty [Kč/m2],10602,2021,2021,56961
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihomoravský kraj,CZ064,,,Byty [Kč/m2],10602,2022,2022,67358
Průměrná jednotková kupní cena nemovitosti,7432,Celkem,0,Česko,CZ,Jihomoravský kraj,CZ064,,,Byty [Kč/m2],10602,2023,2023,65525
